is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
TRUE,171.81,104.86,104.95,4.52,2.89,112.83
TRUE,171.67,103.74,103.7,04.01,2.87,113.29
TRUE,171.83,103.76,103.76,4.4,2.88,113.84
TRUE,171.8,103.78,103.65,3.73,3.12,113.63
TRUE,172.05,103.7,103.75,05.04,2.27,113.55
TRUE,172.57,104.65,104.44,4.54,2.99,113.16
TRUE,172.38,103.55,103.8,3.97,2.9,113.3
TRUE,171.58,103.65,103.37,3.54,3.19,113.38
TRUE,171.96,103.51,103.75,04.06,3.33,113.53
TRUE,172.14,104.34,104.2,4.63,03.02,112.47
TRUE,172.27,104.29,104.22,3.89,3.53,113.5
TRUE,172.07,103.64,103.67,3.86,3.2,113.83
TRUE,172.19,104.61,103.69,4.0,3.26,112.91
TRUE,171.82,103.78,103.76,3.81,3.25,113.36
TRUE,172.04,103.94,103.76,3.81,3.24,113.41
TRUE,171.6,103.85,103.91,4.56,2.56,113.27
TRUE,171.69,103.9,104.13,04.07,2.92,113.52
TRUE,172.05,103.9,103.76,4.52,2.71,113.42
TRUE,172.15,103.65,103.66,3.6,3.5,113.24
TRUE,171.75,104.16,104.0,4.19,03.03,113.55
TRUE,172.03,103.87,103.4,4.29,03.01,113.09
TRUE,172.49,104.44,103.98,04.08,03.07,113.16
TRUE,172.24,104.51,103.97,4.18,3.22,113.21
TRUE,172.59,104.22,104.01,4.47,2.95,113.19
TRUE,172.13,103.76,103.85,3.65,3.24,112.92
TRUE,172.21,104.28,104.37,04.06,3.3,113.92
TRUE,172.41,104.14,104.06,4.45,2.94,113.98
TRUE,172.02,104.23,104.26,4.92,2.89,113.49
TRUE,172.14,104.01,104.0,3.64,3.16,113.37
TRUE,171.84,103.75,103.38,04.08,2.7,113.72
TRUE,172.19,104.05,103.81,3.9,3.22,113.52
TRUE,171.82,103.77,103.79,4.36,2.77,113.79
TRUE,172.01,104.03,103.67,3.9,3.18,112.61
